PRENEI_MENS,PRELIQ_MENS,PRETOTM_MENS,T_MENS,EVAP_MENS,ETP_MENS,PE_MENS,SWI_MENS,DRAINC_MENS,RUNC_MENS,ECOULEMENT_MENS,ville,Annee,Mois,longitude,latitude,Departement,distance_km
0.0,64.3,64.3,12.2,36.9,36.1,27.4,0.44,0.2,3.9,0.0,Ville 7603,1967,10,5.65,45.25,Isere,10.181604963135706
8.3,102.7,111.0,5.7,13.8,9.1,97.2,0.72,16.9,13.3,9.3,Ville 7603,1967,11,5.65,45.25,Isere,10.181604963135706
23.0,42.4,65.4,-0.8,1.8,6.5,63.6,0.81,15.6,25.6,33.7,Ville 7603,1967,12,5.65,45.25,Isere,10.181604963135706
104.1,36.4,140.5,-1.1,-0.1,6.5,140.6,0.87,18.2,34.2,43.6,Ville 7603,1968,1,5.65,45.25,Isere,10.181604963135706
14.2,63.9,78.1,3.4,0.5,9.1,77.6,0.91,35.9,59.7,100.4,Ville 7603,1968,2,5.65,45.25,Isere,10.181604963135706
3.3,28.3,31.6,6.0,28.8,41.5,2.8,0.91,46.9,49.1,64.6,Ville 7603,1968,3,5.65,45.25,Isere,10.181604963135706
0.0,67.3,67.3,10.3,55.2,60.8,12.1,0.75,16.0,6.1,0.0,Ville 7603,1968,4,5.65,45.25,Isere,10.181604963135706
0.0,120.4,120.4,12.5,76.0,73.8,44.4,0.8,19.8,12.8,0.0,Ville 7603,1968,5,5.65,45.25,Isere,10.181604963135706
0.0,112.2,112.2,16.4,103.6,103.2,8.6,0.78,18.2,11.7,0.0,Ville 7603,1968,6,5.65,45.25,Isere,10.181604963135706
0.0,119.0,119.0,18.8,122.8,127.2,-3.8,0.66,10.3,9.2,0.0,Ville 7603,1968,7,5.65,45.25,Isere,10.181604963135706
0.0,177.1,177.1,16.3,83.1,74.6,94.0,0.78,23.7,20.0,0.0,Ville 7603,1968,8,5.65,45.25,Isere,10.181604963135706
0.0,158.9,158.9,13.8,63.6,52.2,95.3,0.9,45.1,21.5,0.0,Ville 7603,1968,9,5.65,45.25,Isere,10.181604963135706
0.0,47.7,47.7,11.9,37.0,32.3,10.7,0.87,38.3,5.7,0.0,Ville 7603,1968,10,5.65,45.25,Isere,10.181604963135706
27.2,82.0,109.2,4.9,11.3,11.0,97.9,0.95,62.4,16.5,27.1,Ville 7603,1968,11,5.65,45.25,Isere,10.181604963135706
16.9,159.1,176.0,1.3,6.7,8.8,169.3,0.93,92.6,32.2,5.0,Ville 7603,1968,12,5.65,45.25,Isere,10.181604963135706
29.4,59.2,88.6,0.1,-0.3,8.4,88.9,0.97,43.2,54.6,60.7,Ville 7603,1969,1,5.65,45.25,Isere,10.181604963135706
21.5,54.1,75.6,-0.4,1.8,11.8,73.8,0.93,21.5,48.3,55.3,Ville 7603,1969,2,5.65,45.25,Isere,10.181604963135706
1.3,66.8,68.1,5.6,16.3,21.1,51.8,0.96,50.9,34.0,26.2,Ville 7603,1969,3,5.65,45.25,Isere,10.181604963135706
0.8,86.9,87.7,9.0,50.7,51.8,37.0,0.86,33.2,9.9,0.8,Ville 7603,1969,4,5.65,45.25,Isere,10.181604963135706
0.0,82.6,82.6,13.8,78.9,79.6,3.7,0.83,36.7,8.7,0.0,Ville 7603,1969,5,5.65,45.25,Isere,10.181604963135706
0.0,166.9,166.9,14.8,80.6,76.1,86.3,0.81,29.7,20.8,0.0,Ville 7603,1969,6,5.65,45.25,Isere,10.181604963135706
0.0,99.8,99.8,19.2,123.8,129.0,-24.0,0.76,25.5,8.4,0.0,Ville 7603,1969,7,5.65,45.25,Isere,10.181604963135706
0.0,83.7,83.7,17.8,90.9,92.9,-7.2,0.57,5.2,5.4,0.0,Ville 7603,1969,8,5.65,45.25,Isere,10.181604963135706
0.0,80.1,80.1,15.5,60.9,57.9,19.2,0.61,5.8,6.1,0.0,Ville 7603,1969,9,5.65,45.25,Isere,10.181604963135706
0.0,3.6,3.6,11.2,32.3,40.3,-28.7,0.51,3.4,0.1,0.0,Ville 7603,1969,10,5.65,45.25,Isere,10.181604963135706
8.6,159.2,167.8,5.2,13.3,12.9,154.5,0.7,24.3,21.2,8.9,Ville 7603,1969,11,5.65,45.25,Isere,10.181604963135706
55.3,22.5,77.8,-2.2,0.2,9.2,77.6,0.88,24.8,15.4,22.1,Ville 7603,1969,12,5.65,45.25,Isere,10.181604963135706
2.3,79.0,81.3,1.6,0.7,9.2,80.6,0.89,19.9,81.4,94.2,Ville 7603,1970,1,5.65,45.25,Isere,10.181604963135706
78.8,134.9,213.7,1.6,3.5,10.6,210.2,1.02,57.4,113.4,136.1,Ville 7603,1970,2,5.65,45.25,Isere,10.181604963135706
60.6,87.8,148.4,1.7,4.2,23.0,144.2,1.02,58.7,91.6,130.0,Ville 7603,1970,3,5.65,45.25,Isere,10.181604963135706
23.5,153.5,177.0,6.9,45.5,50.1,131.5,1.06,104.5,67.5,59.0,Ville 7603,1970,4,5.65,45.25,Isere,10.181604963135706
0.0,83.4,83.4,12.4,81.4,83.0,2.0,0.86,38.9,8.7,0.0,Ville 7603,1970,5,5.65,45.25,Isere,10.181604963135706
0.0,113.9,113.9,17.9,103.0,101.5,10.9,0.7,10.9,9.0,0.0,Ville 7603,1970,6,5.65,45.25,Isere,10.181604963135706
0.0,51.3,51.3,18.9,113.6,129.0,-62.3,0.54,5.6,1.7,0.0,Ville 7603,1970,7,5.65,45.25,Isere,10.181604963135706
0.0,75.2,75.2,18.6,78.2,96.9,-3.0,0.41,2.3,3.1,0.0,Ville 7603,1970,8,5.65,45.25,Isere,10.181604963135706
0.0,70.5,70.5,16.1,61.6,83.1,8.9,0.37,0.5,3.3,0.0,Ville 7603,1970,9,5.65,45.25,Isere,10.181604963135706
1.5,97.4,98.9,9.3,40.8,37.4,58.1,0.56,8.5,9.2,1.7,Ville 7603,1970,10,5.65,45.25,Isere,10.181604963135706
1.6,133.5,135.1,6.1,19.0,15.8,116.1,0.73,22.8,17.5,1.7,Ville 7603,1970,11,5.65,45.25,Isere,10.181604963135706
32.2,26.4,58.6,0.4,6.9,10.6,51.7,0.88,38.8,3.6,1.7,Ville 7603,1970,12,5.65,45.25,Isere,10.181604963135706
27.2,45.9,73.1,-1.6,0.5,9.3,72.6,0.84,12.6,42.4,58.0,Ville 7603,1971,1,5.65,45.25,Isere,10.181604963135706
17.2,29.7,46.9,2.0,8.0,23.5,38.9,0.91,16.5,46.6,59.8,Ville 7603,1971,2,5.65,45.25,Isere,10.181604963135706
61.1,100.7,161.8,1.3,11.6,35.2,150.2,0.98,40.9,79.8,113.1,Ville 7603,1971,3,5.65,45.25,Isere,10.181604963135706
0.0,131.8,131.8,11.0,58.6,63.4,73.2,0.9,50.6,19.0,0.0,Ville 7603,1971,4,5.65,45.25,Isere,10.181604963135706
0.0,85.1,85.1,13.4,76.2,70.7,8.9,0.89,54.6,9.1,0.0,Ville 7603,1971,5,5.65,45.25,Isere,10.181604963135706
0.0,172.2,172.2,15.3,98.8,92.3,73.4,0.9,47.7,21.7,0.0,Ville 7603,1971,6,5.65,45.25,Isere,10.181604963135706
0.0,52.6,52.6,20.4,125.3,140.1,-72.7,0.66,13.3,3.7,0.0,Ville 7603,1971,7,5.65,45.25,Isere,10.181604963135706
0.0,104.0,104.0,20.2,97.0,114.6,7.0,0.44,4.2,5.1,0.0,Ville 7603,1971,8,5.65,45.25,Isere,10.181604963135706
0.0,46.6,46.6,14.6,57.6,70.7,-11.0,0.41,0.3,1.9,0.0,Ville 7603,1971,9,5.65,45.25,Isere,10.181604963135706
0.0,26.9,26.9,10.7,30.7,38.1,-3.8,0.39,0.3,1.4,0.0,Ville 7603,1971,10,5.65,45.25,Isere,10.181604963135706
